_id,dateTime,dow,dateTime,nasdaq,dateTime,sp
5c62152737c1383248ccee81,1/15/2015,17320.71,1/15/2015,4570.824,1/15/2015,1992.67
5c62152737c1383248ccee82,1/16/2015,17511.57,1/16/2015,4634.384,1/16/2015,2019.42
5c62152737c1383248ccee83,1/20/2015,17515.23,1/20/2015,4654.846,1/20/2015,2022.55
5c62152737c1383248ccee84,1/21/2015,17554.28,1/21/2015,4667.421,1/21/2015,2032.12
5c62152737c1383248ccee85,1/22/2015,17813.98,1/22/2015,4750.397,1/22/2015,2063.15
5c62152737c1383248ccee86,1/23/2015,17672.6,1/23/2015,4757.879,1/23/2015,2051.82
5c62152737c1383248ccee87,1/26/2015,17678.7,1/26/2015,4771.763,1/26/2015,2057.09
5c62152737c1383248ccee88,1/27/2015,17387.21,1/27/2015,4681.497,1/27/2015,2029.55
5c62152737c1383248ccee89,1/28/2015,17191.37,1/28/2015,4637.994,1/28/2015,2002.16
5c62152737c1383248ccee8a,1/29/2015,17416.85,1/29/2015,4683.407,1/29/2015,2021.25
5c62152737c1383248ccee8b,1/30/2015,17164.95,1/30/2015,4635.24,1/30/2015,1994.99
5c62152737c1383248ccee8c,2/2/2015,17361.04,2/2/2015,4676.689,2/2/2015,2020.85
5c62152737c1383248ccee8d,2/3/2015,17666.4,2/3/2015,4727.738,2/3/2015,2050.03
5c62152737c1383248ccee8e,2/4/2015,17673.02,2/4/2015,4716.703,2/4/2015,2041.51
5c62152737c1383248ccee8f,2/5/2015,17884.88,2/5/2015,4765.098,2/5/2015,2062.52
5c62152737c1383248ccee90,2/6/2015,17824.29,2/6/2015,4744.398,2/6/2015,2055.47
5c62152737c1383248ccee91,2/9/2015,17729.21,2/9/2015,4726.012,2/9/2015,2046.74
5c62152737c1383248ccee92,2/10/2015,17868.76,2/10/2015,4787.645,2/10/2015,2068.59
5c62152737c1383248ccee93,2/11/2015,17862.14,2/11/2015,4801.181,2/11/2015,2068.53
5c62152737c1383248ccee94,2/12/2015,17972.38,2/12/2015,4857.612,2/12/2015,2088.48
5c62152737c1383248ccee95,2/13/2015,18019.35,2/13/2015,4893.836,2/13/2015,2096.99
5c62152737c1383248ccee96,2/17/2015,18047.58,2/17/2015,4899.267,2/17/2015,2100.34
5c62152737c1383248ccee97,2/18/2015,18029.85,2/18/2015,4906.364,2/18/2015,2099.68
5c62152737c1383248ccee98,2/19/2015,17985.77,2/19/2015,4924.7,2/19/2015,2097.45
5c62152737c1383248ccee99,2/20/2015,18140.44,2/20/2015,4955.966,2/20/2015,2110.3
5c62152737c1383248ccee9a,2/23/2015,18116.84,2/23/2015,4960.972,2/23/2015,2109.66
5c62152737c1383248ccee9b,2/24/2015,18209.19,2/24/2015,4968.122,2/24/2015,2115.48
5c62152737c1383248ccee9c,2/25/2015,18224.57,2/25/2015,4967.137,2/25/2015,2113.86
5c62152737c1383248ccee9d,2/26/2015,18214.42,2/26/2015,4987.89,2/26/2015,2110.74
5c62152737c1383248ccee9e,2/27/2015,18132.7,2/27/2015,4963.527,2/27/2015,2104.5
5c62152737c1383248ccee9f,3/2/2015,18288.63,3/2/2015,5008.096,3/2/2015,2117.39
5c62152737c1383248cceea0,3/3/2015,18203.37,3/3/2015,4979.901,3/3/2015,2107.78
5c62152737c1383248cceea1,3/4/2015,18096.9,3/4/2015,4967.142,3/4/2015,2098.53
5c62152737c1383248cceea2,3/5/2015,18135.72,3/5/2015,4982.81,3/5/2015,2101.04
5c62152737c1383248cceea3,3/6/2015,17856.78,3/6/2015,4927.37,3/6/2015,2071.26
5c62152737c1383248cceea4,3/9/2015,17995.72,3/9/2015,4942.438,3/9/2015,2079.43
5c62152737c1383248cceea5,3/10/2015,17662.94,3/10/2015,4859.795,3/10/2015,2044.16
